# Source: Wiktionary (https://www.wiktionary.org), licensed CC-BY-SA 4.0. Attribution and share-alike terms apply to any redistribution of this content — see https://creativecommons.org/licenses/by-sa/4.0/. Auto-imported; review before promotion.
language,surface_pattern,surface_patterns,variants,canonical_reference,reference_type,source_work,source_author,source_location,source_quote,source_note,short_explanation,explanation_key,source_work_key,source_author_key,learner_level,register,confidence,source_url,source_license,rights_basis,source_dataset,notes
es,a cuerpo de rey,,,a cuerpo de rey,cultural_reference,Wiktionary,Wiktionary contributors,,,,like a king,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_cuerpo_de_rey,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a dedo,,,a dedo,cultural_reference,Wiktionary,Wiktionary contributors,,,,"through connections, through contacts, through friends in high places, thumbing",,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_dedo,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a desgana,,,a desgana,cultural_reference,Wiktionary,Wiktionary contributors,,,,"reluctantly, unwillingly",,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_desgana,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a desmano,,,a desmano,cultural_reference,Wiktionary,Wiktionary contributors,,,,out of reach,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_desmano,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a destajo,,,a destajo,cultural_reference,Wiktionary,Wiktionary contributors,,,,"by the piece, as piecework",,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_destajo,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a día de hoy,,,a día de hoy,cultural_reference,Wiktionary,Wiktionary contributors,,,,"in today's day and age, currently",,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_d%C3%ADa_de_hoy,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a diestro y siniestro,,,a diestro y siniestro,cultural_reference,Wiktionary,Wiktionary contributors,,,,"left and right, left, right and centre",,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_diestro_y_siniestro,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a discreción,,,a discreción,cultural_reference,Wiktionary,Wiktionary contributors,,,,at will,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_discreci%C3%B3n,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a disposición,,,a disposición,cultural_reference,Wiktionary,Wiktionary contributors,,,,suitable; prepared,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_disposici%C3%B3n,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
es,a dolor,,,a dolor,cultural_reference,Wiktionary,Wiktionary contributors,,,,galore; a shedload,,,,B1,common,0.70,https://en.wiktionary.org/wiki/a_dolor,CC-BY-SA-4.0,,es_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
