# Source: Wiktionary (https://www.wiktionary.org), licensed CC-BY-SA 4.0. Attribution and share-alike terms apply to any redistribution of this content — see https://creativecommons.org/licenses/by-sa/4.0/. Auto-imported; review before promotion.
language,surface_pattern,surface_patterns,variants,canonical_reference,reference_type,source_work,source_author,source_location,source_quote,source_note,short_explanation,explanation_key,source_work_key,source_author_key,learner_level,register,confidence,source_url,source_license,rights_basis,source_dataset,notes
ar,بلغ السيل الزبى,,,بلغ السيل الزبى,cultural_reference,Wiktionary,Wiktionary contributors,,,,"the matter has become unbearable, reached its limit; enough is enough",,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D8%A8%D9%84%D8%BA_%D8%A7%D9%84%D8%B3%D9%8A%D9%84_%D8%A7%D9%84%D8%B2%D8%A8%D9%89,CC-BY-SA-4.0,,ar_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ar,بلغت القلوب الحناجر,,,بلغت القلوب الحناجر,cultural_reference,Wiktionary,Wiktionary contributors,,,,felt extreme fear.,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D8%A8%D9%84%D8%BA%D8%AA_%D8%A7%D9%84%D9%82%D9%84%D9%88%D8%A8_%D8%A7%D9%84%D8%AD%D9%86%D8%A7%D8%AC%D8%B1,CC-BY-SA-4.0,,ar_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ar,بين المطرقة والسندان,,,بين المطرقة والسندان,cultural_reference,Wiktionary,Wiktionary contributors,,,,between the hammer and the anvil; between a rock and a hard place,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D8%A8%D9%8A%D9%86_%D8%A7%D9%84%D9%85%D8%B7%D8%B1%D9%82%D8%A9_%D9%88%D8%A7%D9%84%D8%B3%D9%86%D8%AF%D8%A7%D9%86,CC-BY-SA-4.0,,ar_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ar,بين شقي الرحى,,,بين شقي الرحى,cultural_reference,Wiktionary,Wiktionary contributors,,,,between two millstones,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D8%A8%D9%8A%D9%86_%D8%B4%D9%82%D9%8A_%D8%A7%D9%84%D8%B1%D8%AD%D9%89,CC-BY-SA-4.0,,ar_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ar,بين فكي الكماشة,,,بين فكي الكماشة,cultural_reference,Wiktionary,Wiktionary contributors,,,,between the hammer and the anvil; between a rock and a hard place,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D8%A8%D9%8A%D9%86_%D9%81%D9%83%D9%8A_%D8%A7%D9%84%D9%83%D9%85%D8%A7%D8%B4%D8%A9,CC-BY-SA-4.0,,ar_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ar,بين ليلة وضحاها,,,بين ليلة وضحاها,cultural_reference,Wiktionary,Wiktionary contributors,,,,in a short period of time; overnight; suddenly,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D8%A8%D9%8A%D9%86_%D9%84%D9%8A%D9%84%D8%A9_%D9%88%D8%B6%D8%AD%D8%A7%D9%87%D8%A7,CC-BY-SA-4.0,,ar_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ar,تجري الرياح بما لا تشتهي السفن,,,تجري الرياح بما لا تشتهي السفن,cultural_reference,Wiktionary,Wiktionary contributors,,,,Things do not always go as planned,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D8%AA%D8%AC%D8%B1%D9%8A_%D8%A7%D9%84%D8%B1%D9%8A%D8%A7%D8%AD_%D8%A8%D9%85%D8%A7_%D9%84%D8%A7_%D8%AA%D8%B4%D8%AA%D9%87%D9%8A_%D8%A7%D9%84%D8%B3%D9%81%D9%86,CC-BY-SA-4.0,,ar_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ar,ترب,,,ترب,cultural_reference,Wiktionary,Wiktionary contributors,,,,"to be dusty, to be covered with dust, to have earth on oneself",,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D8%AA%D8%B1%D8%A8,CC-BY-SA-4.0,,ar_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ar,ثقيل الدم,,,ثقيل الدم,cultural_reference,Wiktionary,Wiktionary contributors,,,,"unfunny, lame, unpleasant",,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D8%AB%D9%82%D9%8A%D9%84_%D8%A7%D9%84%D8%AF%D9%85,CC-BY-SA-4.0,,ar_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ar,جاب مشارق الأرض ومغاربها,,,جاب مشارق الأرض ومغاربها,cultural_reference,Wiktionary,Wiktionary contributors,,,,to travel from,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D8%AC%D8%A7%D8%A8_%D9%85%D8%B4%D8%A7%D8%B1%D9%82_%D8%A7%D9%84%D8%A3%D8%B1%D8%B6_%D9%88%D9%85%D8%BA%D8%A7%D8%B1%D8%A8%D9%87%D8%A7,CC-BY-SA-4.0,,ar_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ar,جعجعة بلا طحن,,,جعجعة بلا طحن,cultural_reference,Wiktionary,Wiktionary contributors,,,,"empty talk, much ado about nothing",,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D8%AC%D8%B9%D8%AC%D8%B9%D8%A9_%D8%A8%D9%84%D8%A7_%D8%B7%D8%AD%D9%86,CC-BY-SA-4.0,,ar_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ar,جعل عالي الشيء سافله,,,جعل عالي الشيء سافله,cultural_reference,Wiktionary,Wiktionary contributors,,,,to turn upside down,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D8%AC%D8%B9%D9%84_%D8%B9%D8%A7%D9%84%D9%8A_%D8%A7%D9%84%D8%B4%D9%8A%D8%A1_%D8%B3%D8%A7%D9%81%D9%84%D9%87,CC-BY-SA-4.0,,ar_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
ar,جن جنونا,,,جن جنونا,cultural_reference,Wiktionary,Wiktionary contributors,,,,to go crazy,,,,B1,common,0.70,https://en.wiktionary.org/wiki/%D8%AC%D9%86_%D8%AC%D9%86%D9%88%D9%86%D8%A7,CC-BY-SA-4.0,,ar_wiktionary_idioms,Auto-imported from Wiktionary. Verify explanation and surface_patterns before promotion.
